head	tail	relations
MESH:D000068298	NCBI:5321	INDIRECT-DOWNREGULATOR
MESH:C056437	NCBI:5321	INDIRECT-DOWNREGULATOR
MESH:C056437	NCBI:3567	
MESH:C056437	NCBI:65985	
MESH:D009240	NCBI:3567	
MESH:D009240	NCBI:65985	
MESH:C049813	NCBI:3567	
MESH:C049813	NCBI:65985	
MESH:D003571	NCBI:3567	
MESH:D003571	NCBI:65985	
MESH:C033107	NCBI:3567	
MESH:C033107	NCBI:65985	
MESH:C049813	NCBI:5321	
MESH:C033107	NCBI:5321	
MESH:C056437	NCBI:301	INDIRECT-UPREGULATOR
MESH:D017997	NCBI:301	
MESH:D016718	NCBI:301	
MESH:C054056	NCBI:301	
MESH:C056437	NCBI:7534	INDIRECT-DOWNREGULATOR
MESH:C056437	NCBI:5320	
MESH:D017997	NCBI:7534	PRODUCT-OF
MESH:D017997	NCBI:5320	PRODUCT-OF
MESH:D001125	NCBI:445	PRODUCT-OF
MESH:D001125	NCBI:435	
MESH:D009569	NCBI:445	PRODUCT-OF
MESH:D009569	NCBI:3106	PRODUCT-OF
MESH:D009569	NCBI:435	PRODUCT-OF
MESH:D009569	NCBI:211	PRODUCT-OF
MESH:C058327	NCBI:445	PRODUCT-OF|SUBSTRATE
MESH:C058327	NCBI:3106	PRODUCT-OF|SUBSTRATE
MESH:C058327	NCBI:435	PRODUCT-OF
MESH:C058327	NCBI:211	PRODUCT-OF
MESH:D001125	NCBI:3106	
MESH:D001125	NCBI:211	
MESH:C076685	NCBI:445	PRODUCT-OF|SUBSTRATE
MESH:C076685	NCBI:3106	
MESH:C076685	NCBI:435	
MESH:C076685	NCBI:211	
MESH:D000643	NCBI:3106	
MESH:D000643	NCBI:211	
MESH:D005277	NCBI:3358	AGONIST|ACTIVATOR
MESH:D012701	NCBI:3358	DIRECT-REGULATOR
MESH:C031942	NCBI:5327	
MESH:C031942	NCBI:100128998	
MESH:C031942	NCBI:2147	INHIBITOR
MESH:D008713	NCBI:7173	INHIBITOR|ACTIVATOR|INDIRECT-UPREGULATOR
MESH:D011441	NCBI:7173	INHIBITOR|ACTIVATOR|INDIRECT-UPREGULATOR
MESH:C067067	NCBI:7173	INDIRECT-UPREGULATOR|ACTIVATOR|INHIBITOR
MESH:C064837	NCBI:7173	INDIRECT-UPREGULATOR|ACTIVATOR|INHIBITOR
MESH:D006139	NCBI:7173	
MESH:D000242	NCBI:7173	
MESH:C066657	NCBI:7173	INDIRECT-UPREGULATOR
MESH:D005576	NCBI:7173	ACTIVATOR
MESH:D003513	NCBI:7173	INHIBITOR
MESH:D006861	NCBI:7173	
MESH:D000077265	NCBI:43	DIRECT-REGULATOR|INHIBITOR
MESH:C071293	NCBI:43	INHIBITOR
MESH:D000077265	NCBI:1069	DIRECT-REGULATOR
MESH:D000077265	NCBI:590	INHIBITOR
MESH:C026710	NCBI:4129	INHIBITOR
MESH:C026710	NCBI:1644	ACTIVATOR|SUBSTRATE
MESH:D004298	NCBI:4129	
MESH:D004298	NCBI:1644	PRODUCT-OF
MESH:D018491|D004298	NCBI:4129	
MESH:D018491|D004298	NCBI:1644	
MESH:D015306	NCBI:4129	
MESH:D015306	NCBI:1644	
MESH:D000596	NCBI:4129	
MESH:D000596	NCBI:1644	
MESH:C026710	NCBI:10280	
MESH:C026710	NCBI:3269	
MESH:D009638	NCBI:10280	
MESH:D009638	NCBI:3269	
MESH:D012701	NCBI:10280	
MESH:D012701	NCBI:3269	
MESH:D006632	NCBI:10280	
MESH:D006632	NCBI:3269	DIRECT-REGULATOR
MESH:C081643	NCBI:285	INDIRECT-DOWNREGULATOR
MESH:C066657	NCBI:10846	SUBSTRATE
MESH:C026695	NCBI:10846	SUBSTRATE
MESH:D015735	NCBI:5241	
MESH:D015735	NCBI:5555	INDIRECT-DOWNREGULATOR
MESH:D011374	NCBI:5241	DIRECT-REGULATOR|ACTIVATOR
MESH:D011374	NCBI:5555	DIRECT-REGULATOR
MESH:C000606701	NCBI:7166	
MESH:D012701	NCBI:7166	PRODUCT-OF
MESH:C003402	NCBI:2643	PRODUCT-OF
MESH:C003402	NCBI:92170	PRODUCT-OF
MESH:C003402	NCBI:7166	
MESH:C077911	NCBI:2643	PRODUCT-OF
MESH:C077911	NCBI:92170	PRODUCT-OF
MESH:C077911	NCBI:7166	
MESH:D010100	NCBI:2162	
MESH:D010100	NCBI:2155	
MESH:D010100	NCBI:2152	
MESH:D010100	NCBI:79192	
MESH:D010100	NCBI:2158	
MESH:D002241	NCBI:2162	
MESH:D002241	NCBI:2155	
MESH:D002241	NCBI:2152	
MESH:D002241	NCBI:79192	
MESH:D002241	NCBI:2158	
MESH:C076685	NCBI:2162	
MESH:C076685	NCBI:2155	
MESH:C076685	NCBI:2152	
MESH:C076685	NCBI:79192	
MESH:C076685	NCBI:2158	PART-OF
MESH:C069989	NCBI:2162	
MESH:C069989	NCBI:2155	
MESH:C069989	NCBI:2152	
MESH:C069989	NCBI:79192	
MESH:C069989	NCBI:2158	PART-OF
MESH:D002118	NCBI:2158	ACTIVATOR
MESH:D002118	NCBI:2162	
MESH:D002118	NCBI:2155	DIRECT-REGULATOR
MESH:D002118	NCBI:2152	DIRECT-REGULATOR
MESH:C437397	NCBI:79192	
MESH:C437397	NCBI:2158	
MESH:C437397	NCBI:55768	SUBSTRATE
MESH:D002118	NCBI:2159	ACTIVATOR|INHIBITOR
MESH:D002118	NCBI:79192	
MESH:D002118	NCBI:2157	
MESH:D010100	NCBI:2159	
MESH:D002241	NCBI:2159	
MESH:D015232	NCBI:5743	PRODUCT-OF|INDIRECT-DOWNREGULATOR|SUBSTRATE
MESH:C094643	NCBI:148	AGONIST-ACTIVATOR|AGONIST
MESH:D002118	NCBI:1347	
MESH:C030371	NCBI:10840	DIRECT-REGULATOR
MESH:C010161	NCBI:10840	
MESH:D011099	NCBI:10840	DIRECT-REGULATOR
MESH:D000804	NCBI:183	
MESH:D009569	NCBI:183	
MESH:D000804	NCBI:1636	
MESH:D017315	NCBI:183	INHIBITOR
MESH:D017315	NCBI:1636	INHIBITOR
MESH:D009638	NCBI:773	
MESH:D011224	NCBI:148	DIRECT-REGULATOR
MESH:C101291	NCBI:147	
MESH:C051731	NCBI:147	INHIBITOR|ANTAGONIST
MESH:D009638	NCBI:147	
MESH:C094643	NCBI:146	
MESH:C053428	NCBI:146	DIRECT-REGULATOR|ANTAGONIST
MESH:C053428	NCBI:148	ANTAGONIST
MESH:D009638	NCBI:146	AGONIST|ACTIVATOR
MESH:D009638	NCBI:148	AGONIST
MESH:C099495	NCBI:146	DIRECT-REGULATOR|ANTAGONIST
MESH:C099495	NCBI:148	DIRECT-REGULATOR|ANTAGONIST
MESH:D010643	NCBI:148	
MESH:D000077409	NCBI:773	DIRECT-REGULATOR
MESH:C099495	NCBI:773	DIRECT-REGULATOR
MESH:D010830	NCBI:43	INHIBITOR
MESH:D012524	NCBI:43	INHIBITOR
MESH:D017239	NCBI:7124	INHIBITOR
MESH:D017239	NCBI:1588	INHIBITOR
MESH:D000077584	NCBI:7124	INHIBITOR
MESH:D000077584	NCBI:1588	INHIBITOR
MESH:D000735	NCBI:1588	SUBSTRATE
MESH:D004970	NCBI:1588	PRODUCT-OF
MESH:D004967	NCBI:1588	PRODUCT-OF
MESH:D015232	NCBI:3569	
MESH:D015232	NCBI:7124	INHIBITOR
MESH:D015232	NCBI:1588	ACTIVATOR
MESH:C475868	NCBI:7124	INHIBITOR
MESH:C475868	NCBI:1588	INHIBITOR
MESH:D017239	NCBI:3569	INHIBITOR
MESH:C475868	NCBI:3569	
MESH:C042696	NCBI:7054	SUBSTRATE
MESH:C003402	NCBI:7054	DIRECT-REGULATOR|SUBSTRATE
MESH:C042696	NCBI:5774	
MESH:C042696	NCBI:4521	
MESH:C055551	NCBI:4521	PART-OF
MESH:C106930	NCBI:4521	DIRECT-REGULATOR
MESH:C017226	NCBI:4521	DIRECT-REGULATOR
MESH:D001708	NCBI:4521	DIRECT-REGULATOR
MESH:C106930	NCBI:7054	
MESH:D002395	NCBI:7054	DIRECT-REGULATOR|PRODUCT-OF
MESH:D000077288	NCBI:3630	
MESH:D000077288	NCBI:5054	INDIRECT-DOWNREGULATOR|INHIBITOR
MESH:D004967	NCBI:2099	DIRECT-REGULATOR
MESH:D020849	NCBI:2099	DIRECT-REGULATOR
MESH:D020849	NCBI:3569	
MESH:D004967	NCBI:3569	
MESH:D004967	NCBI:796	
MESH:D004164	NCBI:796	
MESH:D020849	NCBI:7043	ACTIVATOR
MESH:D004967	NCBI:7043	ACTIVATOR
MESH:D004958	NCBI:2099	DIRECT-REGULATOR|INDIRECT-DOWNREGULATOR|ACTIVATOR|INDIRECT-UPREGULATOR
MESH:D004958	NCBI:2100	DIRECT-REGULATOR
MESH:D020849	NCBI:2100	DIRECT-REGULATOR
MESH:D004967	NCBI:2100	
MESH:D003042	NCBI:6531	DIRECT-REGULATOR|INDIRECT-DOWNREGULATOR|INHIBITOR
MESH:C438365	NCBI:6531	
MESH:C069723	NCBI:6531	DIRECT-REGULATOR
MESH:D010091	NCBI:43	ACTIVATOR|INHIBITOR
MESH:C044294	NCBI:43	
MESH:C048538	NCBI:43	INHIBITOR
MESH:C028797	NCBI:43	ACTIVATOR
MESH:C109296	NCBI:43	ACTIVATOR
MESH:C022870	NCBI:43	ACTIVATOR
MESH:D004491	NCBI:4280	
MESH:C028797	NCBI:4280	ACTIVATOR
MESH:C022870	NCBI:4280	ACTIVATOR
MESH:C518477	NCBI:4280	ACTIVATOR
MESH:D014289	NCBI:4280	ACTIVATOR
MESH:C048538	NCBI:4280	INHIBITOR
MESH:D010755	NCBI:43	DIRECT-REGULATOR|INHIBITOR
MESH:C518477	NCBI:43	ACTIVATOR
MESH:D014289	NCBI:43	ACTIVATOR
MESH:D009020	NCBI:5742	
MESH:D009020	NCBI:5743	
MESH:D010894	NCBI:5742	INHIBITOR
MESH:D010894	NCBI:5743	INHIBITOR
MESH:C080955	NCBI:5742	
MESH:C080955	NCBI:5743	INDIRECT-UPREGULATOR|INHIBITOR
MESH:C068874	NCBI:775	INHIBITOR
MESH:C064966	NCBI:775	PRODUCT-OF
MESH:D013936	NCBI:775	
MESH:C028210	NCBI:4507	
MESH:C028210	NCBI:345611	
MESH:D013936	NCBI:4507	SUBSTRATE
MESH:D013936	NCBI:345611	SUBSTRATE
MESH:C068874	NCBI:4507	
MESH:C068874	NCBI:345611	
MESH:D010869	NCBI:3350	DIRECT-REGULATOR|ANTAGONIST
MESH:D010869	NCBI:3351	DIRECT-REGULATOR
MESH:D012701	NCBI:3350	DIRECT-REGULATOR
MESH:D004298	NCBI:3350	AGONIST
MESH:D004298	NCBI:3351	
MESH:D009638	NCBI:3350	
MESH:D009638	NCBI:3351	
MESH:D018491|D004298	NCBI:3350	
MESH:D018491|D004298	NCBI:3351	
MESH:D009243	NCBI:3350	
MESH:D009243	NCBI:3351	
MESH:D015784	NCBI:5915	ANTAGONIST
MESH:D015784	NCBI:2561	
MESH:C026777	NCBI:5915	
MESH:C026777	NCBI:2561	ANTAGONIST
MESH:D018491|D004298	NCBI:5915	
MESH:D018491|D004298	NCBI:2561	
MESH:D009243	NCBI:5915	
MESH:D009243	NCBI:2561	
MESH:D012701	NCBI:5915	
MESH:D012701	NCBI:2561	
MESH:C090413	NCBI:3351	
MESH:C108518	NCBI:3350	
MESH:C108518	NCBI:3351	ANTAGONIST
MESH:C004532	NCBI:4835	
MESH:C004532	NCBI:1728	SUBSTRATE
MESH:C415405	NCBI:1728	
MESH:C415405	NCBI:4835	
MESH:D024483	NCBI:4835	DIRECT-REGULATOR|SUBSTRATE
MESH:C055551	NCBI:4835	
MESH:C055551	NCBI:1728	PART-OF
MESH:C071192	NCBI:1312	INHIBITOR
MESH:C034221	NCBI:1312	SUBSTRATE
MESH:D010100	NCBI:1312	SUBSTRATE
MESH:D007980	NCBI:1644	SUBSTRATE
MESH:C071192	NCBI:1644	
MESH:D012642	NCBI:1644	
MESH:D012964	NCBI:6331	
MESH:D003841	NCBI:4907	
MESH:D003841	NCBI:1633	
MESH:C005692	NCBI:4907	
MESH:C005692	NCBI:1633	
MESH:C024352	NCBI:1633	
MESH:C056507	NCBI:4860	
MESH:D017338	NCBI:4860	
MESH:C041707	NCBI:5915	AGONIST
MESH:C518332	NCBI:5915	AGONIST
MESH:C518332	NCBI:10242	AGONIST
MESH:C041707	NCBI:10242	AGONIST
MESH:C518332	NCBI:27094	AGONIST
MESH:D004809	NCBI:27094	
MESH:C100342	NCBI:2006	ACTIVATOR
MESH:C100342	NCBI:4313	INHIBITOR
MESH:D001399	NCBI:2006	
MESH:D012701	NCBI:4846	ACTIVATOR
MESH:D009569	NCBI:4846	PRODUCT-OF
MESH:D003553	NCBI:4846	PRODUCT-OF
MESH:C470599	NCBI:4846	PRODUCT-OF
MESH:C078798	NCBI:4846	SUBSTRATE
MESH:C513363	NCBI:4846	SUBSTRATE
MESH:C089008	NCBI:3351	AGONIST
MESH:C470599	NCBI:3351	
MESH:C033018	NCBI:4846	ANTAGONIST
MESH:C033018	NCBI:3351	
MESH:C094439	NCBI:4846	ANTAGONIST
MESH:C094439	NCBI:3351	
MESH:C027772	NCBI:4846	ANTAGONIST
MESH:C027772	NCBI:3351	
MESH:C579248	NCBI:4846	ANTAGONIST
MESH:C579248	NCBI:3351	
MESH:D008719	NCBI:4846	
MESH:D008719	NCBI:3351	ANTAGONIST
MESH:D000069470	NCBI:3350	
MESH:D012964	NCBI:3350	
MESH:C090701	NCBI:3350	
MESH:C077911	NCBI:7054	
MESH:D006160	NCBI:2643	
MESH:D045162	NCBI:5468	DIRECT-REGULATOR|AGONIST|ACTIVATOR|INDIRECT-UPREGULATOR
MESH:D000077154	NCBI:5468	DIRECT-REGULATOR|ACTIVATOR|INDIRECT-UPREGULATOR
MESH:C089946	NCBI:5468	DIRECT-REGULATOR|AGONIST|INDIRECT-UPREGULATOR
MESH:C494356	NCBI:5468	DIRECT-REGULATOR|INDIRECT-UPREGULATOR
MESH:C437397	NCBI:5468	PART-OF
MESH:C437397	NCBI:5465	PART-OF
MESH:C437397	NCBI:5467	PART-OF
MESH:D005227	NCBI:5468	
MESH:C094826	NCBI:1956	
MESH:D017828	NCBI:1956	
MESH:C055753	NCBI:1956	INHIBITOR
MESH:C025462	NCBI:5743	INHIBITOR|INDIRECT-DOWNREGULATOR|INDIRECT-UPREGULATOR
MESH:D002110	NCBI:472	INHIBITOR
MESH:D002110	NCBI:545	INHIBITOR
MESH:D002110	NCBI:84126	INHIBITOR
MESH:D002110	NCBI:51361	
MESH:C054852	NCBI:51361	INHIBITOR
MESH:D000068438	NCBI:7039	INDIRECT-UPREGULATOR
MESH:D000068438	NCBI:154	
MESH:D010656	NCBI:7039	INDIRECT-UPREGULATOR
MESH:D010656	NCBI:154	
MESH:D009921	NCBI:7039	INDIRECT-DOWNREGULATOR
MESH:D009921	NCBI:154	AGONIST
MESH:D019833	NCBI:7039	INDIRECT-DOWNREGULATOR
MESH:D019833	NCBI:1956	
MESH:C074854	NCBI:7039	INDIRECT-DOWNREGULATOR
MESH:C074854	NCBI:1956	
MESH:C060229	NCBI:7039	INDIRECT-DOWNREGULATOR
MESH:C060229	NCBI:1956	
MESH:D000077191	NCBI:7039	INDIRECT-DOWNREGULATOR
MESH:D000077191	NCBI:1956	
MESH:D013110	NCBI:7039	INDIRECT-DOWNREGULATOR
MESH:D013110	NCBI:1956	
MESH:C049654	NCBI:7039	INDIRECT-DOWNREGULATOR
MESH:C049654	NCBI:1956	
MESH:C093973	NCBI:7039	INDIRECT-DOWNREGULATOR
MESH:C093973	NCBI:1956	
MESH:D020123	NCBI:7039	INDIRECT-DOWNREGULATOR
MESH:D020123	NCBI:1956	
MESH:C042696	NCBI:7039	
MESH:D012271	NCBI:7039	
MESH:D058607	NCBI:344	INDIRECT-DOWNREGULATOR
